Epic,Urgency,Importance,Size
This task is very crucial!,9,10,3
This task is very urgent!,10,8,5
"Big ticket distraction, watch out.",6,4,5
High pressure for no reason,8,2,1
Worth focusing on this one.,9,6,3
Not too bad to take this on.,6,3,2
Let me guess...you're working on this right now.,10,7,3
Why is this even on the list?,2,1,2
Another fire to put out.,8,2,1
A long-term goal that you need to make time for.,2,8,1
Another long-term goal.,3,9,3
"Strategically interesting, but low value.",1,5,1
A bug that's been raised a few times.,7,3,2
Technical debt usually lives around here.,5,4,3
Most important long-term goal around.,4,10,4
Wish we could work on this too.,5,9,4
"Right in the middle, could go either way.",4,6,2
"Critical, but not p0.",7,7,3
Not a high priority.,3,5,1
